m_id,me_id,employment_status,eff_dt
78459,132323,Service Start,2016-03-07
32886,205353,Service Start,2017-02-27
9739,260467,Service Start,2016-02-27
92861,237531,Service Start,2016-03-07
55228,242922,Service Start,2014-02-03
65536,130203,Service Start,2011-10-03
1636,234924,Service Start,2016-09-12
119856,233741,Service Start,2011-02-21
28140,133633,Service Start,2015-12-13
93932,176028,Service Start,2017-05-15
12772,230031,Service Start,2015-01-26
9309,129503,Service Start,2012-11-13
10024,231057,Service Start,2005-06-13
61633,258157,Service Start,2007-06-18
89559,177135,Service Start,2006-12-26
1005,152319,Service Start,2013-07-01
16735,176527,Service Start,2016-06-27
109111,203729,Service Start,2007-09-10
1052,213681,Service Start,2015-03-09
51334,216087,Service Start,2005-10-31
26831,186465,Service Start,2013-08-26
60242,259384,Service Start,2013-10-03
54744,180825,Service Start,2008-06-30
86759,192653,Service Start,2014-03-07
43131,231009,Service Start,2010-04-05
30367,241127,Service Start,2010-06-21
45187,142719,Service Start,2017-04-03
89874,209292,Service Start,2016-09-12
45695,244602,Election Period Start,2017-07-01
28162,169871,Service Start,2017-06-29
32858,198709,Service Start,2017-07-01
68073,183139,Service Start,2017-07-01
37571,257875,Service Start,2017-07-01
124441,198368,Service Start,2017-07-01
88518,135031,Service Start,2017-07-01
100413,153859,Service Start,2017-07-01
51882,202166,Service Start,2017-07-01
121287,148776,Service Start,2017-07-01
81448,219142,Service Start,2017-07-01
60550,218677,Service Start,2017-06-26
107786,230177,Service Start,2017-06-19
5197,182909,Hired - Return to Work,2017-06-26
61873,149303,Service Start,2017-06-19
54192,228426,Service Start,2017-06-26
99743,207635,Service Start,2017-06-20
48187,213901,Service Start,2017-06-19
70303,257448,Service Start,2017-06-20
117195,245896,Service Start,2017-06-20
108878,170277,Service Start,2017-06-19
14312,208922,Service Start,2017-06-19
71484,174161,Service Start,2017-06-20
120072,125500,Service Start,2017-06-19
58194,131872,Service Start,2017-06-19
70586,251701,Service Start,2017-06-19
81582,182148,Hired - Return to Work,2016-10-10
39113,263878,Service Start,2017-06-19
73287,263400,Service Start,2016-11-28
102493,150058,Hired - Return to Work,2014-07-18
102919,221967,Hired - Return to Work,2012-04-27
101088,176481,Hired - Return to Work,2014-01-03
80563,197890,Hired - Return to Work,2011-07-22
92834,151137,Service Start,2017-06-05
62554,178914,Service Start,1998-06-01
108261,150063,Service Start,2007-09-24
70459,194141,Service Start,1997-01-23
2527,200945,Service Start,1996-02-04
8359,140666,Entered Old DROP,2015-09-29
49427,205761,Service Start,1998-09-28
116373,165966,Service Start,2007-01-01
113547,157039,Service Start,2006-07-13
597,247828,Service Start,2002-08-17
25820,265597,Entered Old DROP,2015-02-13
85753,207924,Service Start,2003-05-19
121743,243084,Entered Old DROP,2013-09-18
100622,230532,Entered Old DROP,2016-02-20
39317,147541,Service Start,2002-10-21
71369,241814,Entered Old DROP,2015-01-31
