m_id,birth_dt
12213,1953
76679,1960
35744,1951
122065,1961
44436,1956
109506,1968
15214,1957
108051,1964
55138,1964
83974,1962
20792,1959
34106,1953
41349,1966
1486,1964
90857,1948
56542,1960
113741,1960
53821,1968
95456,1958
76659,1962
102850,1961
52515,1966
41106,1965
12514,1965
53760,1958
71155,1965
77515,1964
1197,1962
72231,1966
82211,1958
20459,1963
119948,1957
41231,1963
94989,1963
85988,1963
93059,1967
124592,1963
116126,1968
90554,1959
118391,1960
17715,1956
25049,1965
10595,1956
77625,1963
59440,1959
20915,1964
30594,1959
34580,1961
5104,1959
107427,1967
47687,1965
88542,1965
40127,1957
25680,1965
107083,1965
71976,1964
75007,1966
57645,1947
65025,1959
54300,1960
11987,1956
42799,1960
120545,1968
28099,1969
52972,1956
121037,1975
3346,1964
56846,1961
123240,1962
109330,1962
44624,1957
32536,1955
8503,1959
109740,1972
91527,1969
114088,1963
109991,1964
29648,1964
11302,1966
20409,1971
23317,1961
20584,1956
50238,1968
112409,1960
2566,1964
34070,1965
206,1966
111555,1972
115261,1965
53196,1966
17858,1960
49108,1961
109359,1968
23015,1960
90196,1958
61586,1962
52384,1961
3556,1961
5481,1963
72753,1966
91778,1959
78840,1963
100008,1951
15369,1956
88080,1958
65205,1958
4420,1955
17541,1961
91885,1958
2448,1957
107508,1959
107379,1961
5022,1956
68493,1967
9725,1971
68097,1963
109946,1961
99196,1961
101971,1965
112575,1959
61,1962
14044,1960
87690,1994
50691,1963
85937,1964
40895,1960
109294,1958
74926,1963
89852,1963
41778,1967
108714,1957
117371,1958
115910,1963
18310,1964
81357,1959
26669,1963
113187,1961
92751,1959
107142,1958
61371,1958
10181,1964
59528,1957
78986,1957
25035,1967
88232,1966
5876,1961
12897,1956
11344,1957
44378,1961
102993,1964
21716,1967
18816,1966
73104,1962
37016,1965
671,1960
51824,1962
81782,1970
109882,1952
92536,1957
55014,1964
78770,1964
77184,1961
110729,1963
119223,1952
112006,1962
45645,1969
104247,1956
89001,1962
109840,1959
98982,1966
103165,1951
88246,1961
79588,1959
57024,1968
56002,1962
8286,1956
2400,1960
32423,1964
54399,1964
10819,1961
110939,1963
89602,1959
15287,1957
5916,1959
55459,1954
49370,1968
76467,1962
89416,1950
123529,1959
102979,1964
118512,1961
61865,1964
79037,1971
28933,1964
74821,1961
9280,1961
122890,1966
98709,1960
65372,1956
106892,1958
55471,1966
65810,1963
120256,1958
114871,1959
41819,1951
103389,1957
38422,1963
46196,1952
42635,1956
67861,1962
71687,1962
19790,1963
98501,1956
74825,1960
66713,1955
52969,1962
90312,1953
106721,1960
57300,1961
123853,1962
38312,1955
119366,1962
82369,1961
118101,1969
90711,1961
101793,1986
102300,1967
77550,1961
6242,1968
93882,1960
64036,1963
83270,1961
85485,1956
44214,1959
70304,1960
98267,1962
120989,1970
65427,1964
24873,1971
56788,1964
6809,1963
112778,1971
105655,1965
85844,1962
85499,1963
67512,1970
80660,1960
113588,1966
75033,1965
92340,1963
22252,1953
35600,1966
120047,1952
15845,1963
123740,1968
97820,1961
76725,1963
55775,1955
90759,1966
33738,1958
20850,1960
53307,1962
28058,1964
66593,1956
97597,1964
100472,1961
71906,1962
69059,1968
10809,1960
123597,1959
83040,1964
23148,1966
58095,1961
4860,1969
120742,1970
40511,1959
89908,1965
18965,1966
121674,1963
43812,1960
122394,1964
21190,1956
110478,1960
112388,1964
72128,1958
54658,1966
5974,1960
123669,1959
36634,1958
98115,1962
109554,1958
56741,1967
100762,1966
55029,1954
83593,1962
21119,1964
44072,1971
64455,1961
95898,1961
93248,1960
81668,1962
37390,1964
100973,1966
82206,1961
67604,1966
38938,1962
12164,1970
20353,1964
83264,1962
34758,1957
50491,1966
65222,1958
32907,1968
120024,1968
29520,1959
10941,1958
28925,1963
37489,1966
99567,1961
8356,1970
45550,1961
7934,1950
37539,1960
71415,1967
79962,1961
46050,1969
91136,1959
13188,1967
49616,1958
70028,1958
26163,1968
76483,1966
21786,1959
80393,1972
51142,1965
21097,1962
29376,1957
81055,1959
65075,1962
33510,1959
87249,1959
89748,1966
49728,1963
46862,1964
87844,1953
42556,1969
63102,1963
39374,1956
31530,1965
24249,1972
100724,1957
100159,1972
50954,1958
75245,1962
61544,1959
67316,1960
113623,1965
56508,1972
22834,1967
78201,1965
90472,1961
99722,1971
87996,1963
121516,1967
28502,1963
117834,1963
79745,1961
37456,1971
88715,1953
57338,1959
110553,1967
11075,1966
20228,1961
42771,1960
63799,1966
94708,1960
60092,1959
43011,1960
9898,1958
16065,1960
103050,1961
99960,1959
91295,1963
89824,1958
14575,1957
18685,1965
29979,1965
104105,1958
25571,1964
73676,1961
23620,1960
38030,1970
121743,1961
8016,1965
28940,1957
78658,1966
23264,1957
14928,1963
79190,1963
119398,1960
74494,1970
77602,1961
123145,1961
71395,1968
96773,1970
47214,1969
78587,1959
95227,1955
87626,1962
11190,1968
96425,1965
114817,1957
12433,1958
70357,1970
35527,1965
